Nome: PALMAS
Codigo Estacao: A009
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-03-21;4;982.778261;22.208696;25.5;23.817391;22.9;90.095238;74;6.2;.765217;
2023-03-22;24.4;982.33913;21.973913;31.7;26.104348;22.4;74.055556;48;6.7;.630435;
2023-03-23;12.2;981.913043;21.608696;32.2;26.947826;23.3;68.055556;44;9.9;.969565;
2023-03-24;.2;981.2;20.666667;33.9;27.125;22.2;65.55;33;7.2;1.404167;
2023-03-25;0;980.973913;20.608696;33.2;26.930435;21.7;69.863636;43;5.5;1.308696;
2023-03-26;0;981.368182;20.877273;31.1;25.845455;23.4;75;53;13.6;1.35;
2023-03-27;8.2;981.320833;22.791667;29.8;24.85;22.7;83.6875;61;6.8;.708333;
2023-03-28;23.2;981.05;22.7625;31.7;25.558333;22.5;75.071429;53;9.5;1.145833;
2023-03-29;13.4;980.970833;21.8125;30.9;26.154167;23;76.409091;52;7.7;.983333;
2023-03-30;.4;981.375;21.520833;34.2;27.583333;22.9;69.045455;43;4.8;.829167;
2023-03-31;1.2;981.7125;22.2125;30.3;26.166667;23.5;78.869565;57;7.5;.8125;
2023-04-01;9;981.347826;21.456522;30.4;25.630435;22.8;78.136364;53;6.3;1.278261;
2023-04-02;0;980.829167;21.75;32.4;26.85;23.4;75;45;6.4;1.041667;
2023-04-03;0;981.166667;20.733333;29;24.233333;22.3;80.521739;63;10.5;.958333;
2023-04-04;27.2;979.970833;20.979167;31.7;25.504167;21.7;77.208333;53;5.1;.85;
2023-04-05;2;979.158333;21.408333;31.1;25.541667;23.2;77.913043;54;10.7;.841667;
2023-04-06;1;979.554167;22.279167;32.7;25.5625;23.5;76.294118;50;12.4;.925;
2023-04-07;9.8;980.045833;22.054167;32.5;26.516667;22.8;71.111111;49;7.1;1.116667;
2023-04-08;1;981.079167;22.133333;30.8;26.658333;23.7;77.083333;56;7;.970833;
2023-04-09;12.4;981.65;22.145833;31.6;26.1;24.3;79.625;57;7;.75;
2023-04-10;19;982.308333;21.791667;30.7;25.441667;23.2;79.818182;52;10;1.720833;
2023-04-11;3;981.625;21.108333;31;26.075;21.8;75.166667;53;6.3;1.079167;
2023-04-12;.4;979.756522;21.46087;33.7;27.295652;22.7;71.73913;45;5.2;1.108696;
2023-04-13;0;978.654167;21.804167;32.9;27.3875;23.2;73.166667;48;5.5;1.066667;
2023-04-14;13.4;979.608333;22.679167;31.7;26.904167;22.9;77.318182;51;8.8;.716667;
2023-04-15;.2;980.2125;21.433333;33.8;27.645833;22.8;68.954545;42;5.6;1.470833;
2023-04-16;0;979.666667;21.595833;34.6;27.270833;22.9;73.125;41;14;1.091667;
2023-04-17;0;977.545833;21.920833;33.3;27.316667;23.3;74.666667;45;6.7;.979167;
2023-04-18;6.6;978.1625;21.920833;28.5;25.733333;22.9;80.208333;62;7.5;1.383333;
2023-04-19;.4;981.073913;21.669565;32.3;26.617391;22.5;70.166667;46;6.6;1.082609;
2023-04-20;0;981.3;20.5;34.1;27.491667;22.6;68.25;35;5.9;1.225;
2023-04-21;0;979.166667;21.366667;33.9;27.595833;23.1;70.75;46;6.7;.995833;
2023-04-22;0;978.975;19.925;33.3;28.1125;23.9;62.916667;41;9.6;1.908333;
2023-04-23;0;980.0125;17.716667;33.6;27.754167;21.5;55.291667;38;8.5;1.9875;
2023-04-24;3.8;981.183333;20;33.2;26.6375;21.6;64.7;38;14.4;1.5;
2023-04-25;7.4;982.083333;20.354167;33;27.154167;22.5;66.590909;40;6.8;1.279167;
2023-04-26;0;981.370833;19.408333;33.4;27.895833;22.3;62.583333;36;6.5;.854167;
2023-04-27;0;981.254167;19.6;34;27.1125;21.8;65.583333;34;5.6;1.5125;
2023-04-28;0;981.870833;20.045833;33.5;27.408333;21.8;66;40;6.4;1.020833;
2023-04-29;0;981.945833;21.2625;33.9;27.479167;22.5;70.208333;46;6;.975;
2023-04-30;0;982.020833;21.725;31.7;25.745833;23.3;79.416667;54;8.7;1.1;
2023-05-01;10.2;982.45;20.508333;32.3;25.808333;22.4;74.166667;47;11.4;1.525;
2023-05-02;2;981.5625;20.7875;31.4;25.495833;21.5;73.714286;49;8.4;.791667;
2023-05-03;null;null;null;32.4;null;21.7;76.5;46;4.2;null;
2023-05-04;null;981.830435;21.156522;32.9;27.186957;23.4;70.782609;49;5.5;1.008696;
2023-05-05;1.6;982.225;21.733333;33.7;27.533333;23.8;70.652174;45;6.7;.870833;
2023-05-06;0;981.65;21.208333;33.6;27.654167;22.7;70.875;42;6.5;1.158333;
2023-05-07;0;980.895833;19.133333;34;28.479167;23.5;59.791667;34;8.5;1.579167;
2023-05-08;0;981.929167;19.741667;32.8;27.3625;22.3;64.541667;46;6.8;1.620833;
2023-05-09;0;981.920833;19.675;35.1;27.779167;21.8;64.583333;34;5.8;.875;
2023-05-10;0;980.7;19.182609;34.9;28.117391;21.8;60.826087;33;6;1.191304;
2023-05-11;0;979.991667;18.970833;34.1;27.85;22.5;61.375;33;5.7;1.4625;
2023-05-12;0;981.820833;20.116667;33.2;27.208333;23.7;66.333333;45;9.6;1.379167;
2023-05-13;0;982.254167;20.304167;34.3;27.304167;21.8;67.791667;37;5.6;1.270833;
2023-05-14;0;983.175;20.358333;34.9;28.2;23.1;64.833333;40;6.3;1.216667;
2023-05-15;0;983.491667;19.975;34;28.6875;24.5;60.291667;41;10;1.65;
2023-05-16;0;982.241667;21.2625;32.5;27.0875;23.7;71.083333;50;6.4;.916667;
2023-05-17;0;981.745833;22.220833;31.9;26.454167;24;78.416667;56;12.2;1.054167;
2023-05-18;25;982.4875;21.583333;34.5;27.608333;23;72.291667;39;7.6;1.220833;
2023-05-19;.2;982.420833;20.9;32.3;26.695833;22.9;71.791667;46;9.1;.958333;
2023-05-20;11.4;981.170833;17.608333;33.5;28.075;22.8;55;33;8;1.641667;
2023-05-21;0;980.366667;15.8875;32.9;27.329167;22.1;52.333333;31;12;1.8875;
2023-05-22;0;981.191667;16.133333;33.4;27.8625;22.3;50.291667;31;11.8;2.275;
2023-05-23;0;981.458333;17.458333;33.9;27.120833;20.7;57.916667;34;8.7;1.491667;
2023-05-24;0;981.175;18.283333;33.7;27.458333;22.5;59.375;37;10.9;1.641667;
2023-05-25;0;981.345833;17.195833;34.1;28.8125;24.5;50.333333;35;9.8;2.6125;
2023-05-26;0;982.108333;17.745833;33.6;28.320833;22.3;53.875;38;9.8;2.195833;
2023-05-27;0;982.558333;17.375;34.5;29.1375;25.9;49.875;34;8;1.883333;
2023-05-28;0;982.1;17.966667;34.6;28.2625;22.8;55.416667;34;5.5;1.266667;
2023-05-29;0;981.241667;18.195833;35.1;27.766667;21.5;59.333333;33;8.8;1.4;
2023-05-30;0;982.3875;19.725;32.6;26.4625;22.9;67.708333;43;7.3;.9375;
2023-05-31;0;983.4625;18.441667;33.9;27.579167;22.2;61;34;8.1;1.445833;
2023-06-01;0;983.425;17.9;35;27.545833;21.2;59.333333;30;6.6;1.058333;
2023-06-02;0;981.6375;16.966667;35;28.091667;21.2;53.916667;31;8;1.525;
2023-06-03;0;981.5125;16.816667;34.4;27.425;20.8;55.666667;33;9.8;1.545833;
2023-06-04;0;983.525;16.145833;34.5;28.85;23.7;47.166667;32;10.3;2.020833;
2023-06-05;0;983.945833;16.016667;34.3;28.0375;22.7;49.708333;31;7.4;1.629167;
2023-06-06;0;983.058333;15.804167;34.7;27.166667;21.2;53.583333;29;9.7;1.245833;
2023-06-07;0;983.720833;16.0125;34.8;27.15;20.2;54.291667;28;9.3;1.504167;
2023-06-08;0;984.208333;15.9875;33.9;27.225;20.6;52.958333;32;9;1.391667;
2023-06-09;0;983.658333;17.2;34.1;27.570833;21.6;55.541667;34;8;1.225;
2023-06-10;0;983.083333;17.7625;34.8;27.979167;22.5;56.458333;32;8.6;1.4;
2023-06-11;0;982.8125;17.0125;35.1;28.154167;22;53.708333;30;8.7;1.5375;
2023-06-12;0;982.545833;16.345833;35.2;27.8125;20.4;53.125;29;8.8;1.445833;
2023-06-13;0;982.720833;16.0625;35;28.741667;21.4;48.166667;30;8.5;1.708333;
2023-06-14;0;982.416667;16.55;34.1;26.995833;20.1;55.375;32;11.4;1.45;
2023-06-15;0;982.913043;16.482609;35;26.917391;20.8;56.695652;27;8.5;1.373913;
2023-06-16;0;983.104167;16.370833;35.6;27.716667;20.1;53.208333;27;11.8;1.470833;
2023-06-17;0;983.395833;16.5625;35.7;27.6;20.5;54.458333;29;7;1.05;
2023-06-18;0;983.2875;16.391667;34.9;27.470833;20.8;54.208333;30;9;1.275;
2023-06-19;0;983.729167;16.120833;35;27.583333;20.5;53.083333;29;9.7;1.7625;
2023-06-20;0;984.0125;15.291667;34.4;27.658333;21;49.791667;30;13.9;2.175;
2023-06-21;0;983.6375;15.229167;34.1;27.4625;21.7;49;30;12.5;1.904167;
2023-06-22;0;983.252174;15.182609;33.7;28.013043;23.9;46.695652;31;11.4;2.186957;
2023-06-23;0;983.1875;15.479167;33.2;26.641667;20.9;53.166667;30;8.8;1.725;
2023-06-24;0;983.4375;14.470833;33.9;26.070833;18.8;52.25;28;10.6;1.408333;
2023-06-25;0;983.441667;14.2375;34.1;26.291667;18.6;51.083333;27;8.4;1.183333;
2023-06-26;0;983.254167;13.5125;33.9;26.504167;19.8;47.791667;27;10.7;1.704167;
2023-06-27;0;983.404167;10.995833;34.3;27.441667;22.7;36.708333;24;11.9;2.616667;
2023-06-28;0;983.4875;14.1375;35;26.858333;19.1;49.166667;26;8.1;1.258333;
2023-06-29;0;984.075;12.916667;34.4;26.466667;19.1;47.25;23;9.2;1.420833;
2023-06-30;0;983.979167;13.004167;35.1;26.579167;18.2;47.625;23;10.7;1.241667;
2023-07-01;0;983.254167;13.1625;34.7;27.029167;19.7;45.666667;24;8.4;1.666667;
2023-07-02;0;982.25;12.425;34.7;26.908333;20.9;43.375;23;8.5;1.145833;
2023-07-03;0;982.5875;12.6625;35.3;26.270833;17.7;47.458333;23;7.2;1.233333;
2023-07-04;0;982.9375;12.3;35.2;26.45;17.4;46.291667;22;10.6;1.55;
2023-07-05;0;983.954167;12.2875;33.3;26.6;20;43.541667;27;13.6;2.108333;
2023-07-06;0;984.1;10.408333;32.6;27.279167;23.5;35.25;26;12;2.791667;
2023-07-07;0;983.120833;12.754167;34.1;26.4;18.4;45.625;27;7.8;1.341667;
2023-07-08;0;982.341667;15.158333;35;26.658333;18.5;52.458333;29;6.7;1.495833;
2023-07-09;0;982.625;15.945833;36;27.245833;19.3;53.875;28;5.3;1.141667;
2023-07-10;0;982.216667;15.216667;35.9;27.525;19.1;51.375;25;8;1.283333;
2023-07-11;0;981.95;16.033333;35.3;27.995833;21.6;50.5;29;8.5;1.108333;
2023-07-12;0;979.858333;15.466667;36;27.829167;20.2;51.208333;24;7.2;1.016667;
2023-07-13;0;980.382609;13.76087;37.3;27.695652;19.7;47.913043;17;6.8;1.16087;
2023-07-14;0;980.570833;12.9375;36.7;26.9625;18.1;46.375;19;6.5;1.533333;
2023-07-15;0;980.779167;12.254167;36.8;26.958333;17.9;43.875;20;8.4;1.333333;
2023-07-16;0;982.391667;14.125;35.5;28.166667;20.9;44.666667;25;9.8;1.8875;
2023-07-17;0;983.308333;12.858333;36;28;20.2;42.833333;18;14.6;2.454167;
2023-07-18;0;985.179167;10.770833;35.8;29.125;21.5;33.083333;21;13.7;2.954167;
2023-07-19;0;986.175;11.525;36;28.283333;21.1;40.5;17;12;2.283333;
2023-07-20;0;985.925;10.145833;34.7;27.208333;19.3;37.541667;19;16.6;2.8625;
2023-07-21;0;986.641667;8.691667;32.1;26.779167;20.4;32.5;25;14.3;2.595833;
2023-07-22;0;985.616667;11.1625;33.5;26.808333;19.4;38.833333;25;11.7;2.225;
2023-07-23;0;985.779167;11.7625;34.1;28.283333;24.6;36.958333;23;14.1;3.441667;
2023-07-24;0;985.391667;11.004167;33.8;28.225;23.1;35.333333;22;12.9;2.708333;
2023-07-25;0;983.654167;11.1;34.3;27.725;20.6;36.458333;23;15;2.995833;
2023-07-26;0;982.829167;11.879167;35.6;26.375;17.9;45.375;19;9.8;1.55;
2023-07-27;0;983.558333;11.9;35.6;27.004167;18;43.458333;18;9.4;1.333333;
2023-07-28;0;983.979167;12.45;35.9;28.641667;20.8;40;18;10.3;1.625;
2023-07-29;0;983.995833;13.1;36.9;28.320833;19.6;42.166667;22;10.2;1.904167;
2023-07-30;0;983.858333;13.825;37.1;28.320833;20;44.666667;20;10.4;1.5125;
2023-07-31;0;984.741667;14.279167;36.3;28.704167;21.1;44.333333;24;14.4;1.875;
2023-08-01;0;984.791667;10.925;35.6;30.1625;27;31.25;20;13.8;2.670833;
2023-08-02;0;984.541667;10.570833;35.5;28.466667;21;33.75;20;14.6;2.1875;
2023-08-03;0;983.745833;13.470833;36.2;28.766667;20.7;42.416667;22;9;1.75;
2023-08-04;0;982.904167;13.445833;36.6;28.154167;19.7;43.5;22;6.5;1.404167;
2023-08-05;0;983.5625;14.483333;36.4;28.233333;21.2;46.291667;23;9.6;1.25;
2023-08-06;0;983.658333;13.2625;36.8;28.895833;22.3;42;20;9.6;1.545833;
2023-08-07;0;984.375;10.35;37.6;29.995833;22;31.541667;17;12;2.025;
2023-08-08;0;983.95;12.0125;37.6;28.5875;19.6;39.791667;19;8.9;1.5875;
2023-08-09;0;982.658333;13.391667;37.4;29.166667;20.6;41.666667;22;8.7;1.5375;
2023-08-10;0;982.454167;10.6375;36.6;30.35;26.8;30.083333;21;15;3.0375;
2023-08-11;0;982.583333;11.725;36.4;28.9125;21.6;37.541667;20;11.5;1.816667;
2023-08-12;0;982.008333;10.454167;36.7;29.070833;21.2;34.916667;16;11.3;2.220833;
2023-08-13;0;981.6875;9.829167;36.7;28.975;20.7;32.5;17;12;2.033333;
2023-08-14;0;981.354167;9.216667;35.8;28.879167;21.8;30.75;18;12.7;2.65;
2023-08-15;0;981.65;9.108333;34.9;29.454167;25.6;28.666667;20;14.2;3.354167;
2023-08-16;0;982.020833;10.566667;34.7;28.308333;22.1;33.666667;24;14.1;2.9125;
2023-08-17;0;981.729167;12.491667;35.2;27.741667;20.7;41.541667;23;15.5;2.470833;
2023-08-18;0;980.183333;12.716667;36.9;28.2375;19.8;42.625;19;11.9;1.8125;
2023-08-19;0;979.179167;12.383333;37.6;28.704167;19.5;41.208333;17;9.6;1.4;
2023-08-20;0;978.333333;12.966667;38.4;29.6875;20.2;39.458333;18;10.7;1.579167;
2023-08-21;0;978.1;15.0125;38.5;30.2;21.6;44.083333;17;8;1.216667;
2023-08-22;0;977.675;13.916667;38.4;30.525;22.5;39.416667;20;10.1;1.5125;
2023-08-23;0;978.879167;18.966667;33.3;27.729167;23;59.75;35;10.3;1.383333;
2023-08-24;0;979.729167;18.816667;36.9;28.1125;22.9;60.416667;30;15.8;1.933333;
2023-08-25;6;980.170833;19.829167;35;27.241667;22.4;66.333333;34;9.6;1.2625;
2023-08-26;0;980.716667;20.116667;33.4;27.783333;23.7;64.458333;43;11.1;1.254167;
2023-08-27;0;982.091667;19.7625;32.3;26.758333;23.8;66.791667;42;14.8;1.091667;
2023-08-28;0;982.620833;18.445833;34.7;27.591667;21.8;59.75;34;8.2;1.5125;
2023-08-29;17.6;983.595833;20.404167;31.7;26.5125;22.9;69.958333;50;12.5;1.441667;
2023-08-30;.2;982.6375;20.770833;32.6;27.058333;24.2;69.208333;47;8.1;1.058333;
2023-08-31;0;982.458333;20.1;34.8;28.204167;23.7;63.916667;35;9;1.329167;
2023-09-01;0;982.345833;19.8875;33.8;27.5375;23.4;64.916667;37;7.2;1.3625;
2023-09-02;0;982.216667;20.708333;30.2;26.85;23.5;69.625;55;6.8;1.075;
2023-09-03;2;981.541667;18.3125;36.9;28.3875;21.8;61.166667;22;8;1.233333;
2023-09-04;0;981.917391;15.113043;37.1;29.178261;21.2;45.086957;26;7.6;1.408696;
2023-09-05;0;982.020833;13.808333;38.2;29.725;20.7;42.5;20;9.3;1.729167;
2023-09-06;0;981.008333;14.545833;37.6;31.141667;24.8;38.333333;23;8.7;1.541667;
2023-09-07;0;981.425;12.333333;36.5;30.9375;26.4;33.041667;22;14.2;2.354167;
2023-09-08;0;981.426087;13.517391;36.7;30.026087;22.1;39;21;8.7;1.391304;
2023-09-09;0;981.8;12.079167;37.6;30.620833;22.8;34.625;18;14.4;2.120833;
2023-09-10;0;981.230435;11.391304;38;30.113043;21.5;35.521739;16;14.7;2.556522;
2023-09-11;0;980.4125;12.2625;37.7;30.433333;22.1;36;18;13.5;2.070833;
2023-09-12;0;980.720833;13.5375;37.4;31.054167;23.4;35.75;23;13.4;2.4125;
2023-09-13;0;980.470833;12;39.1;31.179167;22.8;33.708333;16;11.8;1.608333;
2023-09-14;0;980.8875;12.3375;38.6;29.7625;20.3;37.875;18;9.7;1.516667;
2023-09-15;0;980.204167;13.320833;38.1;29.791667;21;38.333333;23;7.1;1.954167;
2023-09-16;0;979.583333;13.216667;38.3;30.904167;22.8;37.5;19;13.5;2.316667;
2023-09-17;0;980.6375;13.433333;36.9;30.354167;23.9;37.708333;21;10.5;1.575;
2023-09-18;0;980.8;12.6875;38;30.166667;22.6;36.958333;18;12.9;1.704167;
2023-09-19;0;979.891667;13.15;38.4;30.466667;21.7;38.166667;18;11.4;1.875;
2023-09-20;0;979.466667;13.158333;39.4;31.858333;24.1;33.541667;20;13.7;2.3125;
2023-09-21;0;979.204167;12.104167;38.5;32.245833;27.6;29.833333;20;12.8;1.808333;
2023-09-22;0;979.213636;11.313636;39.1;32.140909;25.5;30.136364;17;12.7;1.754545;
2023-09-23;0;979.141667;13.8125;39.1;31.3375;23.5;37.375;20;11.7;2.125;
2023-09-24;0;979.1;17.181818;38.9;31.240909;24.6;46.272727;24;8.4;1.1;
2023-09-25;0;979.047826;17.5;39.4;30.956522;24.3;46.782609;24;9.5;1.43913;
2023-09-26;0;978.391304;19.273913;37.1;31.06087;26;51.217391;32;8.1;1.578261;
2023-09-27;4.6;979.195833;19.325;36.7;29.704167;25.2;56.083333;30;6.2;1.1375;
2023-09-28;0;979.5;20.308696;34;27.156522;24.7;67.130435;43;12.1;1.452174;
2023-09-29;16.6;980.447826;21.034783;33.9;27.291304;22.7;70.478261;41;11.2;.943478;
2023-09-30;.8;979.308696;20.478261;38.2;30.169565;23.4;60.956522;30;7.3;1.504348;
2023-10-01;0;978.613043;18.734783;38.3;30.986957;23.8;51.478261;27;8.6;1.36087;
2023-10-02;0;977.69;17.88;38;null;23.5;46.7;26;6.5;1.54;
2023-10-03;null;978.1;19.869565;34.8;28.66087;24.7;60.043478;40;9.5;.96087;
2023-10-04;0;977.765217;19.543478;37;28.704348;23.3;60.521739;31;13.8;1.465217;
2023-10-05;0;978.75;20.581818;36.4;28.577273;24.7;63.227273;35;11.9;.959091;
2023-10-06;11.2;981.054167;20.2625;32.3;27.533333;24.6;65.625;44;9.3;1.595833;
2023-10-07;0;982.669565;21.004348;29.2;26.126087;24;73.652174;57;5.6;.930435;
2023-10-08;.4;981.2875;20.883333;36.9;26.9375;21.8;74.041667;31;11.7;1.166667;
2023-10-09;10;980.643478;19.973913;37.5;29.643478;22.6;61.782609;30;7.4;1.156522;
2023-10-10;2.8;980.390909;20.340909;37.1;28.477273;22.7;63.5;35;19.7;1.563636;
2023-10-11;null;980.030435;20.121739;34.5;27.934783;21.3;64.26087;43;22.8;1.734783;
2023-10-12;null;979.705263;20.842105;36.1;null;24.5;65.736842;34;19.7;1.731579;
2023-10-13;10.8;979.881818;20.45;37;29.740909;23.8;60.5;32;5.7;1.240909;
2023-10-14;1.2;980.427273;21.104545;35.4;29.186364;24.7;63.409091;39;7.4;1.445455;
2023-10-15;.2;981.93913;20.904348;30.1;27.008696;23.9;69.652174;58;10.8;1.908696;
2023-10-16;0;981.02381;19.804762;36.8;null;22.7;61.857143;30;7.2;1.480952;
2023-10-17;null;979.942857;16.604762;37.9;null;24;48.238095;21;7.8;1.82381;
2023-10-18;null;979.673913;13.569565;38.6;30.208696;21.6;40.826087;17;17.3;1.747826;
2023-10-19;0;979.504167;16.545833;37.9;29.908333;21.8;47.708333;23;7.2;1.4125;
2023-10-20;0;979.391304;17.573913;38.4;30.956522;23.5;48;25;6.3;1.204348;
2023-10-21;0;978.475;17.533333;39;31.433333;23.6;46.5;24;7.1;1.658333;
2023-10-22;0;978.547826;17.417391;38.4;31.878261;25.8;43.608696;27;13.1;1.721739;
2023-10-23;0;979.55;21.013636;31.9;28.086364;26.1;65.954545;46;7.7;1.268182;
2023-10-24;2.6;980.030435;19.782609;36.2;27.434783;22.8;65.782609;31;13.8;1.565217;
2023-10-25;.2;978.42;19.73;36;null;23.4;59.85;31;8.4;1.34;
2023-10-26;null;977.052174;19.878261;37.9;29.56087;24.7;59;32;19.8;1.991304;
2023-10-27;8.4;978.013043;21.16087;35;28.295652;23.3;67.478261;38;8.8;1.530435;
2023-10-28;.8;977.604348;19.569565;36.9;29.16087;23.8;58.782609;29;8.4;1.321739;
2023-10-29;.2;977.286364;20.604545;37.7;29.163636;24.5;62.5;34;13;1.695455;
2023-10-30;4.2;977.991304;20.656522;36.7;30.178261;24.5;59.043478;34;6.1;1.308696;
2023-10-31;null;978.62381;20.409524;35;null;25.9;61.714286;42;8.8;2.07619;
2023-11-01;0;977.273913;19.156522;38;29.978261;22.7;56.913043;25;8;1.695652;
2023-11-02;0;978.595652;20.134783;30.9;25.73913;25.9;71.391304;47;11.8;1.247826;
2023-11-03;7.4;979.026087;20.004348;35.2;27.347826;21;67.347826;37;6.3;1.13913;
2023-11-04;null;979.438095;21;32.2;null;24.6;66.952381;49;8.5;1.385714;
2023-11-05;.8;978.525;22.041667;34.1;27.5125;23.8;73.583333;42;8.8;1.158333;
2023-11-06;7.8;979.917391;21.295652;27.8;25.926087;24.3;75.869565;61;10.2;1.269565;
2023-11-07;2.6;980.341667;20.425;34.7;27.716667;22.8;66.333333;39;8.4;1.070833;
2023-11-08;0;981.416667;21.616667;33.1;27.7;23.7;70.541667;49;11.9;1.291667;
2023-11-09;7.6;980.379167;21.079167;35.1;27.8125;23.5;68.5;40;8.3;1.3;
2023-11-10;.8;979.647826;18.947826;37.5;29.369565;22.8;57.652174;29;10.4;1.352174;
2023-11-11;0;978.633333;20.209524;36.7;null;24.9;57.190476;29;8.8;1.27619;
2023-11-12;null;978.573913;19.443478;37.4;30.382609;24.4;55.652174;28;8.1;1.478261;
2023-11-13;0;978.390909;18.445455;37.9;31.027273;24.3;50.090909;27;7.1;1.477273;
2023-11-14;0;977.834783;19.269565;38.2;31.434783;25.4;50.869565;30;6.7;1.421739;
2023-11-15;0;977.566667;19.791667;38.3;31.395833;26.2;51.625;29;9.7;1.9;
2023-11-16;.4;978.366667;19.891667;34.7;28.670833;24.1;60.5;41;18.8;2.529167;
2023-11-17;9;979.636364;20.672727;31.4;25.45;21.9;76.136364;52;21.3;1.209091;
2023-11-18;1.2;980.209091;20.522727;34.8;26.45;21.6;72.272727;45;9.5;1.345455;
2023-11-19;null;980.145;20.6;34.1;null;24.1;69.4;47;18.1;1.78;
2023-11-20;5.2;979.33913;19.26087;34.1;26.273913;20.8;68;35;9.3;1.43913;
2023-11-21;null;978.904762;19.752381;34.1;null;23;61.47619;37;7.7;1.109524;
2023-11-22;0;978.9375;21.15;31.7;26.4625;23.7;73.333333;52;8.9;.904167;
2023-11-23;23.2;981.028571;22.280952;32.1;null;23.5;79.047619;51;9.5;1.014286;
2023-11-24;0;982.278261;20.234783;34.7;28.069565;21.8;65.521739;39;6.8;1.130435;
2023-11-25;0;979.891667;20.529167;36.3;29.0125;24;62.333333;36;12.7;1.695833;
2023-11-26;1;978.636364;20.95;36;28.604545;24.1;65.636364;35;13.1;2.140909;
2023-11-27;null;981.768182;20.245455;34.5;28.154545;23.9;64.909091;38;7.3;1.622727;
2023-11-28;null;981.090476;19.847619;35.3;null;23.5;60.380952;31;13.3;1.390476;
2023-11-29;1.6;979.309091;19.186364;37.1;29.009091;22.9;58;33;10.9;1.177273;
2023-11-30;4.4;979.45;20.3125;34.2;27.666667;23.2;66.25;35;8.8;1.270833;
2023-12-01;null;979.990476;21.157143;33.2;null;23.4;67.52381;45;8.5;1.519048;
2023-12-02;0;979.53913;20.434783;34.2;27.595652;23;67.304348;37;12.9;.965217;
2023-12-03;9.6;979.645455;21.440909;32.4;25.904545;22.5;77.681818;51;11.5;1.281818;
2023-12-04;12;981.933333;20.691667;32;24.933333;21.5;79.541667;49;14.2;1.458333;
2023-12-05;43.2;981.825;19.454167;33.6;26.533333;20.5;69.041667;33;5.7;1.341667;
2023-12-06;0;978.759091;19.990909;35.8;29.731818;23.1;58.318182;34;6.7;1.236364;
2023-12-07;null;978.452381;20.180952;35.8;null;25.5;56.714286;32;7.4;1.209524;
2023-12-08;0;979.734783;20.526087;35.9;29.16087;24.3;61.173913;30;6.9;1.356522;
2023-12-09;0;978.418182;19.969565;36.7;30.086957;23.9;57.695652;29;5.4;1.154545;
2023-12-10;0;977.861905;20.819048;34.2;null;24.3;64.857143;43;10.3;1.566667;
2023-12-11;null;979.604348;20.030435;31.4;26.9;23.9;67.086957;47;8;1.773913;
2023-12-12;0;980.32;20.86;32.9;null;23.5;70.7;49;11;1.29;
2023-12-13;null;977.921739;21.395652;35;28.369565;22.4;68.608696;41;10.2;1.113043;
2023-12-14;13.6;977.521739;19.834783;34.6;28.195652;21.5;62.869565;36;13.2;2.426087;
2023-12-15;.2;977.956522;19.347826;36.2;29.478261;22.8;58.521739;30;8.3;1.473913;
2023-12-16;0;978.528571;18.066667;36.8;null;25.2;49.857143;27;8.5;1.042857;
2023-12-17;null;977.895652;19.947826;36.1;29.473913;23.5;58.391304;33;8.5;.83913;
2023-12-18;2;977.679167;20.3375;34.4;26.75;23.2;69.458333;40;13.5;1.075;
2023-12-19;7.8;977.75;20.654545;33.2;26.386364;22.1;72.818182;46;12.6;1.659091;
2023-12-20;0;978.647826;20.482609;31.8;26.747826;23.3;69.565217;51;11.7;1.978261;
2023-12-21;0;980.291667;19.620833;33.6;28.133333;24.6;61.25;40;9.8;1.5875;
2023-12-22;0;981.17619;20.338095;32.6;null;23.8;64.142857;47;9.5;1.647619;
2023-12-23;0;981.091667;20.658333;36.3;28.9;24.1;63.333333;30;9.3;1.0375;
2023-12-24;3;980.490909;20.486364;36.2;29.781818;23.7;59.909091;36;8.4;1.586364;
2023-12-25;null;979.615;19.81;36.9;null;24.5;53.95;32;6.2;1.56;
2023-12-26;null;981.204545;20.327273;35.6;29.577273;24.5;60.227273;35;6.5;1.509091;
2023-12-27;null;980.075;20.84;34.8;null;25.2;59.2;42;7.3;1.44;
2023-12-28;null;980.338095;22.042857;32.8;null;23.9;78.285714;53;12.2;.885714;
2023-12-29;null;980.51;22.49;34.2;null;22.8;74.25;47;5.1;1.025;
2023-12-30;null;981.704348;21.717391;30.6;26.965217;24.5;73.869565;53;10.1;.973913;
2023-12-31;0;981.643478;20.995652;32.1;26.791304;22.9;71.913043;47;11.1;2.008696;
